query,intent,sentiment,detected_intent,detected_sentiment,summary
kudos to the team behind account inquiry,account_inquiry,positive,express_appreciation,positive,Expressing appreciation for the account inquiry team
customer experience did not work as advertised,customer_experience,negative,customer_experience,negative,Disappointment with customer experience
really appreciate how efficient community feedback has been,community_feedback,positive,express_gratitude,positive,Expressing appreciation for efficient community feedback
id like to understand more about health complaint,health_complaint,neutral,health_complaint,neutral,Inquiry about understanding health complaint
i would not recommend transportation complaint to anyone,transportation_complaint,negative,transportation_complaint,negative,User expresses dissatisfaction with transportation service
whats the process for location inquiry,location_inquiry,neutral,location_inquiry,neutral,Requesting information about a location
can you provide details about transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,Request for information about transportation-related complaints
the quality of product inquiry is outstanding,product_inquiry,positive,product_inquiry,positive,Praises product inquiry process
really appreciate how efficient food review has been,food_review,positive,express_appreciation,positive,Customer appreciation for efficient service
i need more information regarding business inquiry,business_inquiry,neutral,business_inquiry,neutral,Request for business-related information
whats the process for health complaint,health_complaint,neutral,health_complaint,neutral,Inquiry about health complaint process
could you explain how rewards feedback works,rewards_feedback,neutral,rewards_feedback,neutral,Request for information about rewards feedback process
i absolutely love how technical feedback works for me,technical_feedback,positive,express_appreciation,positive,Expressing gratitude for technical feedback
travel review exceeded all of my expectations,travel_review,positive,travel_review,positive,Praising a travel experience
what does appointment management involve,appointment_management,neutral,appointment_management,neutral,Request for information about the process of managing appointments
technical complaint constantly lets me down,technical_complaint,negative,technical_complaint,negative,The user has a recurring technical issue that consistently causes frustration.
where can i learn about booking complaint,booking_complaint,neutral,booking_complaint,neutral,Learning about booking complaints
is there a manual or guide for service review,service_review,neutral,service_feedback,neutral,Inquiring about a guide for providing feedback on service
i couldnt be happier with educational feedback,educational_feedback,positive,educational_feedback,positive,Customer is very satisfied with educational feedback
i need more information regarding warranty inquiry,warranty_inquiry,neutral,warranty_inquiry,neutral,Request for information about warranty inquiry
service review failed to meet even the basic expectations,service_review,negative,service_complaint,negative,Service failed to meet expectations
i would not recommend warranty inquiry to anyone,warranty_inquiry,negative,warranty_inquiry,negative,Strongly dissatisfied with warranty inquiry
policy inquiry caused a lot of problems for me,policy_inquiry,negative,policy_inquiry,negative,User experienced issues due to a policy inquiry
billing complaint has made my life much easier and better,billing_complaint,positive,express_satisfaction,positive,The user expresses satisfaction with their experience
customer experience is simply amazing and very reliable,customer_experience,positive,express_praise,positive,Expressing admiration for customer experience
i absolutely love how product complaint works for me,product_complaint,positive,express_satisfaction,positive,Customer satisfaction with product complaint process
really appreciate how efficient product complaint has been,product_complaint,positive,express_appreciation,positive,Express gratitude for efficient product complaint process
is there a manual or guide for technical feedback,technical_feedback,neutral,technical_feedback,neutral,Requesting guidance or documentation for providing technical feedback
i would not recommend account inquiry to anyone,account_inquiry,negative,complaint,negative,User has had a bad experience and does not recommend account inquiry
product complaint caused a lot of problems for me,product_complaint,negative,product_complaint,negative,Product issue causing problems
the quality of community feedback is outstanding,community_feedback,positive,community_feedback,positive,Outstanding community feedback
healthcare feedback has been a fantastic experience overall,healthcare_feedback,positive,healthcare_feedback,positive,Overall positive experience
who can i contact about schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for schedule inquiry information
service review has made my life much easier and better,service_review,positive,express_appreciation,positive,Expressing gratitude for a service that has improved their life
account inquiry has so many issues i regret using it,account_inquiry,negative,account_inquiry,negative,User expresses regret and frustration with their account inquiry experience
who can i contact about transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,Contact information for transportation complaint
is there a manual or guide for product complaint,product_complaint,neutral,product_complaint,neutral,Request for product complaint manual or guide
shipping inquiry is simply amazing and very reliable,shipping_inquiry,positive,shipping_inquiry,positive,Customer expresses satisfaction with shipping service
whats the process for technical support,technical_support,neutral,technical_support,neutral,Inquiring about technical support process
delivery status exceeded all of my expectations,delivery_status,positive,express_satisfaction,positive,Pleased with delivery
how do i proceed with policy inquiry,policy_inquiry,neutral,policy_inquiry,neutral,Policy inquiry request
whats the process for accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Inquiry about filing an accommodation complaint
id like to understand more about policy complaint,policy_complaint,neutral,policy_inquiry,neutral,The user wants to understand more about policy complaints
my experience with technical complaint was terrible,technical_complaint,negative,technical_complaint,negative,Customer had a bad experience
who can i contact about technical support,technical_support,neutral,technical_support,neutral,Contacting technical support
where can i learn about procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,User wants to learn about procedural inquiry
whats the process for warranty inquiry,warranty_inquiry,neutral,warranty_inquiry,neutral,Warranty inquiry
really appreciate how efficient complaint has been,complaint,positive,express_appreciation,positive,Expressing gratitude for efficient complaint resolution
i would not recommend technical complaint to anyone,technical_complaint,negative,complaint,negative,Unhappy with technical support and wouldn't recommend
id like to understand more about service review,service_review,neutral,service_review,neutral,User wants to know more about service reviews
id like to understand more about billing complaint,billing_complaint,neutral,financial_inquiry,neutral,User wants to learn more about billing complaints
the quality of order inquiry is outstanding,order_inquiry,positive,order_inquiry,positive,High praise for order inquiry process
i would not recommend order inquiry to anyone,order_inquiry,negative,service_complaint,negative,Unhappy customer experience
how do i proceed with healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Request for guidance on providing feedback about healthcare
service review is simply amazing and very reliable,service_review,positive,service_review,positive,The service is excellent and trustworthy.
could you explain how business inquiry works,business_inquiry,neutral,business_inquiry,neutral,Inquiring about business process or offering
delivery status has made my life much easier and better,delivery_status,positive,express_appreciation,positive,The user is appreciative of how delivery status has improved their life
really appreciate how efficient service feedback has been,service_feedback,positive,express_appreciation,positive,Appreciate efficient service feedback
financial inquiry exceeded all of my expectations,financial_inquiry,positive,financial_inquiry,positive,Inquiry about financial matters exceeded expectations
i need more information regarding accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Request for information about an accommodation complaint
i need more information regarding technical complaint,technical_complaint,neutral,technical_complaint,neutral,Request for technical support information
what does service review involve,service_review,neutral,service_review,neutral,The user is seeking information about what service review entails.
im very satisfied with the results of shipping inquiry,shipping_inquiry,positive,shipping_inquiry,positive,Express satisfaction with shipping inquiry results
service inquiry has been a fantastic experience overall,service_inquiry,positive,service_inquiry,positive,Overall positive experience
what does health inquiry involve,health_inquiry,neutral,health_inquiry,neutral,Inquiring about health-related information
rewards feedback exceeded all of my expectations,rewards_feedback,positive,express_appreciation,positive,Expressing appreciation for exceeding expectations
financial inquiry caused a lot of problems for me,financial_inquiry,negative,financial_inquiry,negative,Financial inquiry caused issues
process complaint caused a lot of problems for me,process_complaint,negative,process_complaint,negative,The user has had issues with a process
financial inquiry did not work as advertised,financial_inquiry,negative,financial_inquiry,negative,Complaint about financial inquiry not meeting expectations
technical complaint has made my life much easier and better,technical_complaint,positive,technical_complaint,positive,The user is expressing gratitude for a technical solution that has improved their life.
booking complaint exceeded all of my expectations,booking_complaint,positive,booking_complaint,positive,Exceeded expectations
product feedback is simply amazing and very reliable,product_feedback,positive,product_feedback,positive,Excellent customer experience
my experience with business inquiry was terrible,business_inquiry,negative,business_inquiry,negative,The user had a negative experience with their business inquiry
how do i proceed with product complaint,product_complaint,neutral,product_complaint,neutral,Customer wants to report an issue with their product
im very satisfied with the results of entertainment review,entertainment_review,positive,entertainment_review,positive,Satisfied with the results
warranty inquiry has so many issues i regret using it,warranty_inquiry,negative,warranty_inquiry,negative,Disappointment and regret due to issues with warranty
how do i proceed with complaint,complaint,neutral,complaint,neutral,The user wants to know how to proceed with filing a complaint.
i would not recommend complaint to anyone,complaint,negative,complaint,negative,Not recommending something
how do i proceed with billing complaint,billing_complaint,neutral,billing_complaint,neutral,User wants to know how to proceed with a billing issue
really appreciate how efficient healthcare feedback has been,healthcare_feedback,positive,express_appreciation,positive,The user appreciates efficient healthcare feedback.
service inquiry failed to meet even the basic expectations,service_inquiry,negative,service_inquiry,negative,Service did not meet basic expectations
can you provide details about billing complaint,billing_complaint,neutral,billing_complaint,neutral,Request for information about billing complaint
i need more information regarding complaint,complaint,neutral,complaint,neutral,Request for information about complaint process
using environment complaint was a frustrating experience,environment_complaint,negative,environment_complaint,negative,Frustrating experience with environmental issue
whats the process for rewards feedback,rewards_feedback,neutral,rewards_feedback,neutral,Query about providing feedback on rewards
how do i proceed with facility feedback,facility_feedback,neutral,facility_feedback,neutral,Request for facility feedback process
policy inquiry was a complete disaster and waste of time,policy_inquiry,negative,policy_inquiry,negative,"User expresses dissatisfaction with their policy inquiry experience, stating it was a disaster and waste of time."
healthcare feedback has made my life much easier and better,healthcare_feedback,positive,healthcare_feedback,positive,Positive feedback on healthcare services
warranty inquiry caused a lot of problems for me,warranty_inquiry,negative,warranty_inquiry,negative,Warranty inquiry caused issues for you
schedule inquiry was a complete disaster and waste of time,schedule_inquiry,negative,procedural_inquiry,negative,Inquiry about scheduling was unsuccessful and frustrating
could you explain how payment inquiry works,payment_inquiry,neutral,payment_inquiry,neutral,The user wants to know how to inquire about payment-related issues or questions.
could you explain how service inquiry works,service_inquiry,neutral,service_inquiry,neutral,Request for information about a service
i would not recommend policy complaint to anyone,policy_complaint,negative,complaint,negative,Unhappy experience with policy
transportation complaint has made my life much easier and better,transportation_complaint,positive,transportation_complaint,positive,Overall positive experience with transportation
location inquiry constantly lets me down,location_inquiry,negative,location_inquiry,negative,Location inquiry failed to provide accurate information
is there a manual or guide for customer experience,customer_experience,neutral,customer_experience,neutral,Requesting guidance or resources for improving customer experience
using order inquiry was a frustrating experience,order_inquiry,negative,order_inquiry,negative,Frustrating experience with order inquiry
job inquiry constantly lets me down,job_inquiry,negative,job_inquiry,negative,Disappointment with job inquiry process
payment inquiry constantly lets me down,payment_inquiry,negative,payment_inquiry,negative,Payment issue
i need more information regarding policy complaint,policy_complaint,neutral,policy_complaint,neutral,Request for information about policy complaints
can you provide details about technical feedback,technical_feedback,neutral,technical_feedback,neutral,Request for information on technical feedback
how do i proceed with technical feedback,technical_feedback,neutral,technical_feedback,neutral,Request for instructions on providing technical feedback
i couldnt be happier with entertainment review,entertainment_review,positive,entertainment_review,positive,The user is very happy with their entertainment experience.
im very satisfied with the results of product inquiry,product_inquiry,positive,product_inquiry,positive,Customer expresses satisfaction with product inquiry results
shipping inquiry did not work as advertised,shipping_inquiry,negative,shipping_inquiry,negative,Shipping inquiry failed to deliver as expected
could you explain how accommodation complaint works,accommodation_complaint,neutral,accommodation_complaint,neutral,User wants to understand how to file an accommodation complaint
service review caused a lot of problems for me,service_review,negative,service_review,negative,Negative experience with service
transportation complaint has so many issues i regret using it,transportation_complaint,negative,transportation_complaint,negative,Customer has had poor experience with transportation service
i absolutely love how event review works for me,event_review,positive,express_appreciation,positive,Expressing enthusiasm for Event Review's service
my experience with payment inquiry was terrible,payment_inquiry,negative,payment_inquiry,negative,Customer had a bad experience with payment inquiry
event review is simply amazing and very reliable,event_review,positive,event_review,positive,"The user had an excellent experience at the event, finding it amazing and reliable."
im extremely disappointed with business inquiry,business_inquiry,negative,business_inquiry,negative,Customer expresses disappointment
the quality of payment inquiry is outstanding,payment_inquiry,positive,payment_inquiry,positive,Customer inquiry about payment quality
i need more information regarding facility feedback,facility_feedback,neutral,facility_feedback,neutral,Request for more information about providing feedback on facilities
i would not recommend educational feedback to anyone,educational_feedback,negative,express_opinion,negative,Dislikes or wouldn't recommend educational feedback
is there a manual or guide for policy complaint,policy_complaint,neutral,policy_inquiry,neutral,Seeking information about policy complaint process
healthcare feedback has so many issues i regret using it,healthcare_feedback,negative,healthcare_feedback,negative,Disappointment and regret with healthcare services
policy feedback was a complete disaster and waste of time,policy_feedback,negative,policy_feedback,negative,Customer had a poor experience with policy feedback process.
the quality of travel complaint is outstanding,travel_complaint,positive,travel_complaint,positive,Customer satisfaction with travel service
where can i learn about product feedback,product_feedback,neutral,product_feedback,neutral,Inquiry about learning about product feedback
who can i contact about healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Inquiry about providing feedback on healthcare services
who can i contact about technical feedback,technical_feedback,neutral,technical_feedback,neutral,Seeking technical feedback
can you provide details about rewards feedback,rewards_feedback,neutral,rewards_feedback,neutral,Request for information about providing feedback on rewards
what does facility feedback involve,facility_feedback,neutral,facility_feedback,neutral,Request for information about facility feedback process
can you provide details about financial complaint,financial_complaint,neutral,financial_inquiry,neutral,Request for financial complaint details
is there a manual or guide for event review,event_review,neutral,process_inquiry,neutral,Asking for guidance or information
travel review was a complete disaster and waste of time,travel_review,negative,travel_review,negative,The travel experience was a complete disaster and waste of time.
can you provide details about procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,Request for information about a process or procedure
financial complaint exceeded all of my expectations,financial_complaint,positive,financial_complaint,positive,Customer expresses satisfaction with financial experience exceeding expectations
healthcare feedback constantly lets me down,healthcare_feedback,negative,healthcare_feedback,negative,Healthcare service not meeting expectations
business inquiry has been a fantastic experience overall,business_inquiry,positive,business_inquiry,positive,General inquiry about a positive experience
delivery status is simply amazing and very reliable,delivery_status,positive,delivery_status,positive,Customer expresses satisfaction with delivery status
my experience with event review was terrible,event_review,negative,event_review,negative,Terrible experience with an event review
i would not recommend technical feedback to anyone,technical_feedback,negative,express_opinion,negative,User expresses negative opinion about technical feedback
whats the process for policy inquiry,policy_inquiry,neutral,procedural_inquiry,neutral,Request for information on policy inquiry process
who can i contact about rewards feedback,rewards_feedback,neutral,rewards_feedback,neutral,Asking for contact information about providing feedback on rewards
service inquiry has made my life much easier and better,service_inquiry,positive,express_appreciation,positive,Expressing gratitude for improved service
what does community feedback involve,community_feedback,neutral,community_feedback,neutral,The user wants to know what community feedback entails
really appreciate how efficient appointment management has been,appointment_management,positive,appointment_management,positive,Appreciation for efficient appointment management
my experience with educational feedback was terrible,educational_feedback,negative,educational_feedback,negative,Poor experience with educational feedback
product complaint has made my life much easier and better,product_complaint,positive,product_complaint,positive,Satisfied customer experience
i couldnt be happier with technical support,technical_support,positive,express_satisfaction,positive,The user is extremely satisfied with technical support
community feedback has been a fantastic experience overall,community_feedback,positive,express_appreciation,positive,Overall positive experience
im very satisfied with the results of process complaint,process_complaint,positive,express_satisfaction,positive,Customer is satisfied with the outcome of their complaint
is there a manual or guide for community feedback,community_feedback,neutral,community_feedback,neutral,Requesting information about community feedback process or resources
i would not recommend environment complaint to anyone,environment_complaint,negative,complaint,negative,Not satisfied with an environmental issue and would not recommend it to others
im extremely disappointed with appointment management,appointment_management,negative,appointment_management,negative,Customer is unhappy with appointment management
i need more information regarding healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Request for more information about healthcare feedback
i need more information regarding entertainment review,entertainment_review,neutral,entertainment_review,neutral,Request for more information about entertainment reviews
what does customer experience involve,customer_experience,neutral,business_inquiry,neutral,The user wants to know what customer experience entails
im very satisfied with the results of service feedback,service_feedback,positive,service_feedback,positive,Express satisfaction with service feedback
i couldnt be happier with facility feedback,facility_feedback,positive,express_satisfaction,positive,Customer is very pleased and satisfied
my experience with delivery status was terrible,delivery_status,negative,delivery_status,negative,Bad experience with delivery status
healthcare feedback was a complete disaster and waste of time,healthcare_feedback,negative,healthcare_feedback,negative,Disappointing experience with healthcare service
using shipping inquiry was a frustrating experience,shipping_inquiry,negative,shipping_inquiry,negative,Unpleasant shipping inquiry experience
im very satisfied with the results of complaint,complaint,positive,express_satisfaction,positive,The user expresses satisfaction with the results of a complaint
i absolutely love how shipping inquiry works for me,shipping_inquiry,positive,express_appreciation,positive,Expressing gratitude and appreciation for the shipping inquiry process
who can i contact about warranty inquiry,warranty_inquiry,neutral,warranty_inquiry,neutral,Inquiring about warranty contact information
the quality of complaint is outstanding,complaint,positive,express_praise,positive,Expressing praise for the quality of something
i would not recommend service complaint to anyone,service_complaint,negative,service_complaint,negative,Negative feedback about a service
technical complaint has been a fantastic experience overall,technical_complaint,positive,technical_complaint,positive,The user had an overall positive experience with their technical complaint.
what does policy inquiry involve,policy_inquiry,neutral,procedural_inquiry,neutral,The user wants to know what Policy Inquiry entails.
the quality of location inquiry is outstanding,location_inquiry,positive,location_inquiry,positive,Praises location inquiry service
my experience with healthcare feedback was terrible,healthcare_feedback,negative,healthcare_feedback,negative,unhappy experience with healthcare feedback
environment complaint has been a fantastic experience overall,environment_complaint,positive,environment_complaint,positive,General satisfaction with environmental complaint process
what does technical support involve,technical_support,neutral,procedural_inquiry,neutral,Request for information about technical support process
my experience with policy complaint was terrible,policy_complaint,negative,policy_complaint,negative,Complaint about a policy experience
i couldnt be happier with healthcare feedback,healthcare_feedback,positive,healthcare_feedback,positive,Expresses satisfaction with healthcare feedback
accommodation complaint has been a fantastic experience overall,accommodation_complaint,positive,accommodation_complaint,positive,Positive accommodation experience
kudos to the team behind community feedback,community_feedback,positive,express_appreciation,positive,Expressing gratitude to the community feedback team
product complaint constantly lets me down,product_complaint,negative,product_complaint,negative,Disatisfaction with product consistently
i would not recommend booking complaint to anyone,booking_complaint,negative,booking_complaint,negative,Disatisfied with booking experience
service inquiry constantly lets me down,service_inquiry,negative,service_complaint,negative,The user has had repeated issues with service
i would not recommend customer experience to anyone,customer_experience,negative,customer_experience,negative,Disatisfied with customer experience
rewards feedback did not work as advertised,rewards_feedback,negative,rewards_feedback,negative,Rewards system did not function as expected
kudos to the team behind service inquiry,service_inquiry,positive,express_appreciation,positive,Express gratitude for good service
id like to understand more about order inquiry,order_inquiry,neutral,order_inquiry,neutral,Customer wants to inquire about order-related information
business inquiry has made my life much easier and better,business_inquiry,positive,business_inquiry,positive,The user expresses gratitude for how a business inquiry has positively impacted their life
i would not recommend service feedback to anyone,service_feedback,negative,service_feedback,negative,"Unhappy experience with service, not recommending"
id like to understand more about complaint,complaint,neutral,complaint,neutral,The user wants to understand more about complaints
the quality of facility feedback is outstanding,facility_feedback,positive,facility_feedback,positive,The user provides positive feedback about facility quality
im very satisfied with the results of policy feedback,policy_feedback,positive,policy_feedback,positive,The user is satisfied with the results of policy feedback.
policy feedback did not work as advertised,policy_feedback,negative,policy_feedback,negative,Failed expectation with policy feedback
i would not recommend location inquiry to anyone,location_inquiry,negative,customer_experience,negative,Not satisfied with Location Inquiry service
im very satisfied with the results of facility feedback,facility_feedback,positive,facility_feedback,positive,Customer is satisfied with the results of facility feedback.
i couldnt be happier with policy feedback,policy_feedback,positive,express_praise,positive,Customer expressing their satisfaction with policy feedback
i absolutely love how appointment management works for me,appointment_management,positive,express_appreciation,positive,Appreciation for appointment management
accommodation complaint failed to meet even the basic expectations,accommodation_complaint,negative,accommodation_complaint,negative,Failed to meet basic expectations
where can i learn about product inquiry,product_inquiry,neutral,product_inquiry,neutral,Request for information about product inquiry
where can i learn about technical support,technical_support,neutral,technical_support,neutral,Request for technical support information
who can i contact about customer experience,customer_experience,neutral,customer_experience,neutral,Inquiry about customer experience
what does schedule inquiry involve,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for information about scheduling processes
im extremely disappointed with product inquiry,product_inquiry,negative,product_inquiry,negative,Customer is unhappy with their product inquiry experience
im extremely disappointed with technical support,technical_support,negative,technical_complaint,negative,Disappointed customer experience
where can i learn about financial complaint,financial_complaint,neutral,financial_inquiry,neutral,User wants to learn about financial complaints
is there a manual or guide for service complaint,service_complaint,neutral,service_complaint,neutral,Seeking information about service complaint process
i absolutely love how financial complaint works for me,financial_complaint,positive,express_satisfaction,positive,Customer is happy with their experience with financial complaint
policy complaint caused a lot of problems for me,policy_complaint,negative,complaint,negative,Policy issue caused problems
customer experience failed to meet even the basic expectations,customer_experience,negative,customer_experience,negative,Customer experience did not meet basic expectations
im very satisfied with the results of environment complaint,environment_complaint,positive,environment_complaint,positive,The user is satisfied with the outcome of their environment-related complaint.
policy inquiry constantly lets me down,policy_inquiry,negative,policy_inquiry,negative,Disappointment with policy inquiry process
account inquiry has made my life much easier and better,account_inquiry,positive,financial_inquiry,positive,Account inquiry has been beneficial
product complaint has so many issues i regret using it,product_complaint,negative,product_complaint,negative,Regretful experience due to numerous issues with a product
procedural inquiry is simply amazing and very reliable,procedural_inquiry,positive,procedural_inquiry,positive,The user expresses admiration and trust towards a procedural process.
what does healthcare feedback involve,healthcare_feedback,neutral,healthcare_feedback,neutral,Request for information about healthcare feedback process
who can i contact about event review,event_review,neutral,event_review,neutral,Requesting information about an event review
who can i contact about shipping inquiry,shipping_inquiry,neutral,shipping_inquiry,neutral,Request for information about shipping
whats the process for schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for information about scheduling
kudos to the team behind food review,food_review,positive,express_praise,positive,Appreciative feedback for food review
the quality of account inquiry is outstanding,account_inquiry,positive,account_inquiry,positive,Praising the quality of account inquiry
kudos to the team behind accommodation complaint,accommodation_complaint,positive,express_appreciation,positive,Expression of gratitude for the accommodation team
transportation complaint did not work as advertised,transportation_complaint,negative,transportation_complaint,negative,Disappointment with transportation service due to unmet expectations.
who can i contact about procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,Request for contact information related to procedural inquiry
really appreciate how efficient schedule inquiry has been,schedule_inquiry,positive,express_appreciation,positive,Expressing gratitude for efficient schedule inquiry
id like to understand more about product complaint,product_complaint,neutral,product_complaint,neutral,Customer wants to understand more about product complaints
my experience with process complaint was terrible,process_complaint,negative,process_complaint,negative,The user had a terrible experience with a process complaint
im very satisfied with the results of technical complaint,technical_complaint,positive,technical_complaint,positive,Customer is satisfied with the results of their technical complaint
using rewards feedback was a frustrating experience,rewards_feedback,negative,rewards_feedback,negative,The user had a frustrating experience with rewards feedback.
policy complaint has made my life much easier and better,policy_complaint,positive,express_appreciation,positive,"The policy complaint has had a positive impact, making life easier and better"
facility feedback failed to meet even the basic expectations,facility_feedback,negative,facility_feedback,negative,Failed to meet basic expectations
i absolutely love how technical complaint works for me,technical_complaint,positive,express_praise,positive,Customer expresses admiration for technical complaint process
health complaint failed to meet even the basic expectations,health_complaint,negative,health_complaint,negative,Failed to meet basic expectations
can you provide details about product feedback,product_feedback,neutral,product_feedback,neutral,Request for information about product feedback
really appreciate how efficient policy inquiry has been,policy_inquiry,positive,express_appreciation,positive,Express gratitude for efficient policy inquiry process
my experience with schedule inquiry was terrible,schedule_inquiry,negative,schedule_inquiry,negative,Bad experience with scheduling inquiry
financial complaint has made my life much easier and better,financial_complaint,positive,express_appreciation,positive,Expressing gratitude for a positive impact on life
where can i learn about schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Asking about learning opportunities for schedule inquiries
location inquiry did not work as advertised,location_inquiry,negative,location_inquiry,negative,Location inquiry did not meet expectations
delivery status did not work as advertised,delivery_status,negative,complaint,negative,Issue with delivery status not meeting expectations
complaint is simply amazing and very reliable,complaint,positive,complaint,positive,Expressing admiration for a reliable complaint service
where can i learn about account inquiry,account_inquiry,neutral,account_inquiry,neutral,Request for information on account inquiry process
id like to understand more about educational feedback,educational_feedback,neutral,educational_feedback,neutral,User wants to learn more about educational feedback
can you provide details about service complaint,service_complaint,neutral,service_complaint,neutral,Request for details about service complaint
can you provide details about schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Request for information about scheduling
who can i contact about booking complaint,booking_complaint,neutral,booking_complaint,neutral,User wants to report an issue related to booking
account inquiry was a complete disaster and waste of time,account_inquiry,negative,account_inquiry,negative,Account inquiry was unsuccessful and frustrating
billing complaint constantly lets me down,billing_complaint,negative,billing_complaint,negative,The user has had issues with billing and it's a recurring problem
the quality of health complaint is outstanding,health_complaint,positive,health_complaint,positive,Excellent health services
whats the process for customer experience,customer_experience,neutral,customer_experience,neutral,The user wants to know about the process for improving customer experience
billing complaint caused a lot of problems for me,billing_complaint,negative,billing_complaint,negative,Billing issue caused problems for me
i couldnt be happier with product complaint,product_complaint,positive,product_complaint,positive,Customer is satisfied with their product complaint
procedural inquiry caused a lot of problems for me,procedural_inquiry,negative,procedural_inquiry,negative,Procedural issue caused problems
my experience with rewards feedback was terrible,rewards_feedback,negative,express_opinion,negative,Customer expresses dissatisfaction with rewards feedback experience
kudos to the team behind rewards feedback,rewards_feedback,positive,express_appreciation,positive,Expressing appreciation for the rewards feedback team
id like to understand more about facility feedback,facility_feedback,neutral,facility_feedback,neutral,Request for information about facility feedback
technical support failed to meet even the basic expectations,technical_support,negative,technical_complaint,negative,Technical support did not meet expectations
im extremely disappointed with booking complaint,booking_complaint,negative,booking_complaint,negative,Customer expresses disappointment with their booking.
how do i proceed with delivery status,delivery_status,neutral,delivery_status,neutral,Inquiring about delivery status
accommodation complaint caused a lot of problems for me,accommodation_complaint,negative,accommodation_complaint,negative,The user had problems with their accommodation
travel review failed to meet even the basic expectations,travel_review,negative,travel_review,negative,The travel review was disappointing and did not meet expectations
the quality of business inquiry is outstanding,business_inquiry,positive,business_inquiry,positive,Praising business inquiry experience
who can i contact about payment inquiry,payment_inquiry,neutral,payment_inquiry,neutral,Request for information about payment
financial complaint has been a fantastic experience overall,financial_complaint,positive,financial_complaint,positive,The user has had a positive experience with their financial complaint.
im very satisfied with the results of appointment management,appointment_management,positive,appointment_management,positive,Satisfied with the results of appointment management
can you provide details about service inquiry,service_inquiry,neutral,service_inquiry,neutral,Inquiring about service details
job inquiry did not work as advertised,job_inquiry,negative,job_inquiry,negative,Job inquiry did not meet expectations
im very satisfied with the results of financial inquiry,financial_inquiry,positive,financial_inquiry,positive,Customer expresses satisfaction with financial inquiry results.
really appreciate how efficient delivery status has been,delivery_status,positive,express_appreciation,positive,Appreciation for efficient delivery status
could you explain how financial complaint works,financial_complaint,neutral,financial_inquiry,neutral,Request for information about financial complaint process
process complaint has made my life much easier and better,process_complaint,positive,express_appreciation,positive,Customer expresses gratitude for making their life easier and better.
really appreciate how efficient entertainment review has been,entertainment_review,positive,express_appreciation,positive,Expressing gratitude for efficient entertainment review process
can you provide details about health inquiry,health_inquiry,neutral,health_inquiry,neutral,User inquires about health-related information
service feedback was a complete disaster and waste of time,service_feedback,negative,service_feedback,negative,Service feedback was a negative experience
is there a manual or guide for order inquiry,order_inquiry,neutral,order_inquiry,neutral,Request for guidance on ordering
travel complaint constantly lets me down,travel_complaint,negative,travel_complaint,negative,Unhappiness with travel arrangements or experiences
billing complaint was a complete disaster and waste of time,billing_complaint,negative,billing_complaint,negative,Dispute about billing
using community feedback was a frustrating experience,community_feedback,negative,community_feedback,negative,Frustrating community feedback experience
im very satisfied with the results of billing complaint,billing_complaint,positive,express_satisfaction,positive,Customer expresses satisfaction with billing complaint results
location inquiry exceeded all of my expectations,location_inquiry,positive,location_inquiry,positive,User inquiry about location exceeded expectations
the quality of schedule inquiry is outstanding,schedule_inquiry,positive,schedule_inquiry,positive,High praise for scheduling inquiries
product complaint did not work as advertised,product_complaint,negative,product_complaint,negative,Product did not meet expectations
i absolutely love how procedural inquiry works for me,procedural_inquiry,positive,express_appreciation,positive,Expresses gratitude and appreciation for procedural inquiry
where can i learn about financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,Inquiring about financial information
i would not recommend service review to anyone,service_review,negative,service_review,negative,Customer unhappy with service
service feedback exceeded all of my expectations,service_feedback,positive,service_feedback,positive,Customer satisfaction with service exceeded expectations
payment inquiry has been a fantastic experience overall,payment_inquiry,positive,payment_inquiry,positive,Positive payment inquiry experience overall
kudos to the team behind financial inquiry,financial_inquiry,positive,express_appreciation,positive,Expressing gratitude to the team for their work on financial inquiry
business inquiry constantly lets me down,business_inquiry,negative,business_inquiry,negative,Disappointed with frequent business inquiries not meeting expectations
using travel complaint was a frustrating experience,travel_complaint,negative,travel_complaint,negative,Expressing frustration about a travel experience
i absolutely love how financial inquiry works for me,financial_inquiry,positive,express_appreciation,positive,Customer expresses appreciation for financial inquiry service
i would not recommend billing complaint to anyone,billing_complaint,negative,complaint,negative,Customer dissatisfaction with billing process
can you provide details about appointment management,appointment_management,neutral,appointment_management,neutral,Request for information about appointment management
